ORIGIN,DEP_DELAY_NEW,DEP_DEL15,n_flights,avg_delay,pct_delay_flight,origin_city,origin_lat,origin_long
RSW,282463.0,3334.0,18246,15.480817713471446,18.272498081771346,,,
SAF,12666.0,112.0,669,18.932735426008968,16.741405082212257,,,
SAN,445152.0,6837.0,37701,11.807432163603087,18.13479748547784,,,
SAT,196356.0,2523.0,16593,11.833664798408968,15.205207015006328,,,
SAV,104721.0,1225.0,6861,15.263226934849147,17.85454015449643,,,
SBA,47441.0,508.0,2717,17.460802355539197,18.69709238130291,,,
SBN,47509.0,543.0,2861,16.605732261447045,18.979377839916115,,,
SBP,34770.0,384.0,2012,17.281312127236582,19.08548707753479,,,
SCC,2222.0,32.0,411,5.406326034063261,7.785888077858881,,,
SCE,11227.0,101.0,667,16.832083958020988,15.142428785607196,,,
SCK,5388.0,92.0,302,17.841059602649008,30.4635761589404,,,
SDF,136389.0,1499.0,9493,14.367323290845887,15.790582534499103,,,
SEA,561460.0,8154.0,53851,10.426175929880596,15.141780096934133,,,
SFB,49758.0,748.0,4611,10.791151594014314,16.22207764042507,,,
SFO,1178048.0,15191.0,68568,17.180725702951815,22.154649399136623,,,
SGF,59174.0,680.0,3366,17.579916815210932,20.2020202020202,,,
SGU,18729.0,187.0,1575,11.891428571428571,11.873015873015873,,,
SHD,6841.0,38.0,281,24.345195729537366,13.523131672597867,,,
SHV,42829.0,514.0,2769,15.467316720837848,18.562657999277718,,,
SIT,3225.0,40.0,454,7.10352422907489,8.81057268722467,,,
SJC,236902.0,3796.0,24825,9.542880161127895,15.29103726082578,,,
SJT,6557.0,88.0,675,9.714074074074073,13.037037037037036,,,
SJU,182889.0,2280.0,10963,16.682386208154703,20.797227036395146,,,
SLC,491100.0,6584.0,46499,10.561517451988214,14.159444289124497,,,
SLN,12737.0,85.0,389,32.74293059125964,21.85089974293059,,,
SMF,187569.0,2988.0,20028,9.36533852606351,14.919113241461954,,,
SMX,1066.0,12.0,72,14.805555555555555,16.666666666666664,,,
SNA,183936.0,2776.0,17011,10.812768208806066,16.318852507201225,,,
SPI,12736.0,126.0,709,17.963328631875882,17.77150916784203,,,
SPN,1099.0,22.0,194,5.664948453608248,11.34020618556701,,,
SPS,6005.0,76.0,484,12.40702479338843,15.702479338842975,,,
SRQ,58472.0,670.0,3510,16.65868945868946,19.08831908831909,,,
STC,1716.0,19.0,90,19.066666666666666,21.11111111111111,,,
STL,401181.0,6028.0,27756,14.453847816688283,21.717826776192535,,,
STS,8205.0,94.0,897,9.147157190635452,10.479375696767,,,
STT,21307.0,281.0,1739,12.252443933294996,16.158711903392756,,,
STX,3292.0,50.0,401,8.209476309226932,12.468827930174564,,,
SUN,8040.0,63.0,681,11.806167400881057,9.251101321585903,,,
SUX,11352.0,112.0,551,20.602540834845733,20.326678765880217,,,
SWF,17042.0,172.0,682,24.988269794721408,25.219941348973606,,,
SWO,2525.0,28.0,327,7.7217125382263,8.56269113149847,,,
SYR,86415.0,937.0,5882,14.691431485889153,15.929955797347843,,,
TLH,21154.0,307.0,2592,8.161265432098766,11.844135802469136,,,
TOL,13102.0,124.0,893,14.671892497200448,13.885778275475925,,,
TPA,456655.0,6029.0,33508,13.628238032708607,17.992718156858064,,,
TRI,12926.0,168.0,1024,12.623046875,16.40625,,,
TTN,26559.0,310.0,1080,24.591666666666665,28.703703703703702,,,
TUL,85114.0,992.0,7063,12.050686677049413,14.04502336117797,,,
